frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
1465,1566536081049606321,312.00,288.00,350,158664,11114,307.15,282.23,129.23,0.9873,1,0.6249,0.7910,0.9950,10000,1891,10,1.377,348.2,303.4,ndt_r3_i240,3478.1,0.9951,0.2522,0.640,0.580,0.627
1538,1566536088345101704,336.00,240.00,383,178154,9311,337.62,236.57,122.36,0.9367,1,0.9922,0.2273,0.9665,10000,4149,10,1.667,392.4,303.4,icp_d4_i240,6546.6,0.9661,0.2475,0.975,0.267,0.967
1538,1566536088345101704,336.00,240.00,383,178154,9311,337.62,236.57,122.36,0.9367,1,0.9922,0.2273,0.9665,10000,4149,10,1.667,392.4,303.4,gicp_d4_i240,7253.5,0.9665,0.2502,0.992,0.228,0.990
1538,1566536088345101704,336.00,240.00,383,178154,9311,337.62,236.57,122.36,0.9367,1,0.9922,0.2273,0.9665,10000,4149,10,1.667,392.4,303.4,ndt_r3_i240,3401.3,0.9664,0.2511,1.047,0.278,1.033
1611,1566536095644964355,360.00,192.00,418,212491,8630,369.62,185.75,122.54,0.9761,1,0.7621,0.4141,0.9815,10000,3085,10,5.058,391.1,278.4,icp_d4_i240,13291.6,0.9815,0.2466,0.820,0.472,0.820
1611,1566536095644964355,360.00,192.00,418,212491,8630,369.62,185.75,122.54,0.9761,1,0.7621,0.4141,0.9815,10000,3085,10,5.058,391.1,278.4,gicp_d4_i240,31417.2,0.9815,0.2453,0.779,0.388,0.779
1611,1566536095644964355,360.00,192.00,418,212491,8630,369.62,185.75,122.54,0.9761,1,0.7621,0.4141,0.9815,10000,3085,10,5.058,391.1,278.4,ndt_r3_i240,2877.5,0.9816,0.2467,0.720,0.487,0.720
1684,1566536102952865725,408.00,168.00,411,210806,10699,400.15,162.44,-160.68,0.9865,1,0.6837,0.4354,0.9939,10000,5247,10,1.013,520.8,344.9,icp_d4_i240,14643.5,0.9942,0.2443,0.722,0.000,0.701
1684,1566536102952865725,408.00,168.00,411,210806,10699,400.15,162.44,-160.68,0.9865,1,0.6837,0.4354,0.9939,10000,5247,10,1.013,520.8,344.9,gicp_d4_i240,20419.6,0.9940,0.2441,1.372,0.550,0.684
1684,1566536102952865725,408.00,168.00,411,210806,10699,400.15,162.44,-160.68,0.9865,1,0.6837,0.4354,0.9939,10000,5247,10,1.013,520.8,344.9,ndt_r3_i240,3600.2,0.9942,0.2513,1.078,0.482,1.024
1757,1566536110248473293,432.00,168.00,389,202322,9627,427.87,179.82,-144.43,0.9816,1,0.6342,0.1902,0.9805,10000,5591,10,3.715,475.9,323.4,icp_d4_i240,10734.4,0.9808,0.2475,0.577,0.129,0.577
1757,1566536110248473293,432.00,168.00,389,202322,9627,427.87,179.82,-144.43,0.9816,1,0.6342,0.1902,0.9805,10000,5591,10,3.715,475.9,323.4,gicp_d4_i240,35240.8,0.9805,0.2485,0.611,0.191,0.611
1757,1566536110248473293,432.00,168.00,389,202322,9627,427.87,179.82,-144.43,0.9816,1,0.6342,0.1902,0.9805,10000,5591,10,3.715,475.9,323.4,ndt_r3_i240,2827.5,0.9800,0.2482,0.673,0.442,0.673
1830,1566536117544168777,456.00,192.00,283,167550,12207,462.40,201.80,-148.72,0.9602,1,0.4215,0.2302,0.9606,10000,4040,10,0.810,469.1,360.5,icp_d4_i240,20475.9,0.9608,0.2534,0.379,0.027,0.374
1830,1566536117544168777,456.00,192.00,283,167550,12207,462.40,201.80,-148.72,0.9602,1,0.4215,0.2302,0.9606,10000,4040,10,0.810,469.1,360.5,gicp_d4_i240,28298.4,0.9606,0.2559,0.423,0.209,0.423
1830,1566536117544168777,456.00,192.00,283,167550,12207,462.40,201.80,-148.72,0.9602,1,0.4215,0.2302,0.9606,10000,4040,10,0.810,469.1,360.5,ndt_r3_i240,2772.2,0.9600,0.2559,0.475,0.208,0.475
1903,1566536124844530056,504.00,240.00,197,175430,12208,515.87,235.72,-147.75,0.9839,1,0.2164,0.2147,0.9830,10000,1557,10,1.006,358.0,345.6,icp_d4_i240,11793.2,0.9835,0.2402,0.175,0.065,0.166
1903,1566536124844530056,504.00,240.00,197,175430,12208,515.87,235.72,-147.75,0.9839,1,0.2164,0.2147,0.9830,10000,1557,10,1.006,358.0,345.6,gicp_d4_i240,4729.5,0.9830,0.2405,0.214,0.216,0.214
1903,1566536124844530056,504.00,240.00,197,175430,12208,515.87,235.72,-147.75,0.9839,1,0.2164,0.2147,0.9830,10000,1557,10,1.006,358.0,345.6,ndt_r3_i240,3715.9,0.9827,0.2416,0.249,0.354,0.188
1976,1566536132144940710,552.00,240.00,199,208296,9897,558.23,238.78,142.48,0.9864,1,0.3447,0.6933,0.9922,10000,5782,10,0.566,478.8,337.4,icp_d4_i240,10944.6,0.9918,0.2544,0.263,0.453,0.246
1976,1566536132144940710,552.00,240.00,199,208296,9897,558.23,238.78,142.48,0.9864,1,0.3447,0.6933,0.9922,10000,5782,10,0.566,478.8,337.4,gicp_d4_i240,5992.5,0.9922,0.2540,0.344,0.715,0.343
1976,1566536132144940710,552.00,240.00,199,208296,9897,558.23,238.78,142.48,0.9864,1,0.3447,0.6933,0.9922,10000,5782,10,0.566,478.8,337.4,ndt_r3_i240,3729.5,0.9914,0.2534,0.308,0.529,0.268
2049,1566536139444535963,600.00,192.00,175,170683,10030,607.87,197.76,141.57,0.9739,1,0.6706,0.2484,0.9816,10000,5776,10,0.945,483.5,336.8,icp_d4_i240,10724.0,0.9812,0.2440,0.644,0.209,0.644
2049,1566536139444535963,600.00,192.00,175,170683,10030,607.87,197.76,141.57,0.9739,1,0.6706,0.2484,0.9816,10000,5776,10,0.945,483.5,336.8,gicp_d4_i240,11334.5,0.9816,0.2443,0.671,0.246,0.671
2049,1566536139444535963,600.00,192.00,175,170683,10030,607.87,197.76,141.57,0.9739,1,0.6706,0.2484,0.9816,10000,5776,10,0.945,483.5,336.8,ndt_r3_i240,3492.0,0.9823,0.2450,0.701,0.373,0.636
2122,1566536146743747960,648.00,144.00,175,136789,6344,654.50,145.21,122.80,0.9357,1,1.1382,0.3105,0.9830,10000,2871,10,1.197,203.9,204.1,icp_d4_i240,4114.6,0.9834,0.2516,1.043,0.207,1.003
2122,1566536146743747960,648.00,144.00,175,136789,6344,654.50,145.21,122.80,0.9357,1,1.1382,0.3105,0.9830,10000,2871,10,1.197,203.9,204.1,gicp_d4_i240,13528.8,0.9828,0.2506,1.135,0.302,1.135
2122,1566536146743747960,648.00,144.00,175,136789,6344,654.50,145.21,122.80,0.9357,1,1.1382,0.3105,0.9830,10000,2871,10,1.197,203.9,204.1,ndt_r3_i240,2775.7,0.9834,0.2538,1.120,0.340,0.999
2195,1566536154043976865,672.00,96.00,182,111710,7324,672.10,86.64,83.20,0.8609,1,1.5352,0.1392,0.9925,10000,4664,10,0.389,190.1,220.2,icp_d4_i240,4312.6,0.9928,0.2465,1.514,0.132,1.501
2195,1566536154043976865,672.00,96.00,182,111710,7324,672.10,86.64,83.20,0.8609,1,1.5352,0.1392,0.9925,10000,4664,10,0.389,190.1,220.2,gicp_d4_i240,21961.7,0.9925,0.2441,1.535,0.142,1.535
2195,1566536154043976865,672.00,96.00,182,111710,7324,672.10,86.64,83.20,0.8609,1,1.5352,0.1392,0.9925,10000,4664,10,0.389,190.1,220.2,ndt_r3_i240,2521.5,0.9928,0.2427,1.554,0.134,1.545
2268,1566536161345107335,648.00,48.00,206,136505,10543,647.59,39.78,46.38,0.8978,1,1.4828,0.5546,0.9685,10000,4081,10,1.016,345.4,291.3,icp_d4_i240,12247.6,0.8226,0.2444,11.515,8.124,2.161
2268,1566536161345107335,648.00,48.00,206,136505,10543,647.59,39.78,46.38,0.8978,1,1.4828,0.5546,0.9685,10000,4081,10,1.016,345.4,291.3,gicp_d4_i240,20929.5,0.9685,0.2473,1.482,0.552,1.482
2268,1566536161345107335,648.00,48.00,206,136505,10543,647.59,39.78,46.38,0.8978,1,1.4828,0.5546,0.9685,10000,4081,10,1.016,345.4,291.3,ndt_r3_i240,3582.0,0.9680,0.2478,1.727,0.649,1.727
2341,1566536168646088078,600.00,24.00,214,142679,8878,607.80,16.52,16.47,0.9543,1,1.0619,0.6534,0.9876,10000,3415,10,2.043,264.8,262.3,icp_d4_i240,15878.7,0.9875,0.2555,1.099,0.753,1.089
2341,1566536168646088078,600.00,24.00,214,142679,8878,607.80,16.52,16.47,0.9543,1,1.0619,0.6534,0.9876,10000,3415,10,2.043,264.8,262.3,gicp_d4_i240,9401.2,0.9876,0.2557,1.062,0.652,1.062
2341,1566536168646088078,600.00,24.00,214,142679,8878,607.80,16.52,16.47,0.9543,1,1.0619,0.6534,0.9876,10000,3415,10,2.043,264.8,262.3,ndt_r3_i240,4129.9,0.9873,0.2582,1.099,0.562,1.060
2414,1566536175949591826,552.00,24.00,354,179151,7234,559.23,24.33,-25.42,0.9513,1,0.6550,0.2372,0.9540,10000,3409,10,1.188,275.6,210.7,icp_d4_i240,11342.9,0.9538,0.2370,0.673,0.078,0.644
2414,1566536175949591826,552.00,24.00,354,179151,7234,559.23,24.33,-25.42,0.9513,1,0.6550,0.2372,0.9540,10000,3409,10,1.188,275.6,210.7,gicp_d4_i240,20153.2,0.9536,0.2380,0.661,0.326,0.661
2414,1566536175949591826,552.00,24.00,354,179151,7234,559.23,24.33,-25.42,0.9513,1,0.6550,0.2372,0.9540,10000,3409,10,1.188,275.6,210.7,ndt_r3_i240,3001.1,0.9551,0.2386,0.784,0.674,0.784
2487,1566536183242459408,528.00,72.00,366,125887,8611,528.65,62.41,-46.46,0.9224,1,0.4850,0.7736,0.9206,10000,2204,10,2.040,233.4,243.3,icp_d4_i240,10216.2,0.9223,0.2607,0.510,0.706,0.466
2487,1566536183242459408,528.00,72.00,366,125887,8611,528.65,62.41,-46.46,0.9224,1,0.4850,0.7736,0.9206,10000,2204,10,2.040,233.4,243.3,gicp_d4_i240,12739.4,0.9207,0.2709,0.484,0.778,0.484
2487,1566536183242459408,528.00,72.00,366,125887,8611,528.65,62.41,-46.46,0.9224,1,0.4850,0.7736,0.9206,10000,2204,10,2.040,233.4,243.3,ndt_r3_i240,3282.9,0.9178,0.2722,0.519,0.543,0.517
2560,1566536190548038879,480.00,48.00,469,181431,7663,489.06,50.56,33.35,0.8833,1,1.1086,1.7023,0.8873,10000,700,10,2.792,233.4,218.9,icp_d4_i240,8509.0,0.8892,0.2499,1.031,1.383,1.031
